Brand,Product Name,Discounted Price,Original Price,Rating,Reviews,Material,Availability,Seller,Product URL
Baggit,Women Solid Purse With Detachable Shoulder Strap,₹945,MRP ₹1890,N/A,N/A,PU,In Stock,Baggit India Pvt LTD,https://www.myntra.com/clutches/baggit/baggit-women-solid-purse-with-detachable-shoulder-strap/23601656/buy
Kara,Blue & Yellow Purse Clutch,₹950,MRP ₹2795,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-blue--yellow-purse-clutch/14556930/buy
Kara,Black Solid Leather Purse Clutch,₹950,MRP ₹2795,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-black-solid-leather-purse-clutch/14556928/buy
Kara,Grey Textured Leather Purse Clutch,₹950,MRP ₹2795,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-grey-textured-leather-purse-clutch/12814328/buy
Fastrack,Quilted Purse with Detachable Shoulder Strap,₹951,MRP ₹1699,4.7|18 Ratings,18 Ratings,PU,In Stock,PRIMESPOT RETAIL PRIVATE LIMITED,https://www.myntra.com/clutches/fastrack/fastrack-quilted-purse-with-detachable-shoulder-strap/24889198/buy
Mochi,Embellished Purse Clutch,₹1267,MRP ₹1690,4.5|39 Ratings,39 Ratings,Synthetic,In Stock,METRO BRANDS,https://www.myntra.com/clutches/mochi/mochi-embellished-purse-clutch/31394659/buy
MANGO,Purse With Wrist Loop,MRP₹ 990,MRP,N/A,N/A,"95% polyamide, 5% polyurethane",In Stock,Truenet Commerce,https://www.myntra.com/clutches/mango/mango-purse-with-wrist-loop/32291179/buy
MANGO,Purse With Wrist Loop,MRP₹ 990,MRP,N/A,N/A,"95% polyamide, 5% polyurethane",In Stock,Truenet Commerce,https://www.myntra.com/clutches/mango/mango-purse-with-wrist-loop/32291163/buy
Metro,Brown Embroidered Purse Clutch,MRP₹ 990,MRP,4.3|39 Ratings,39 Ratings,PU,In Stock,METRO BRANDS,https://www.myntra.com/clutches/metro/metro-brown-embroidered-purse-clutch/17125140/buy
Metro,Pink Embroidered Purse Clutch,MRP₹ 990,MRP,5|9 Ratings,9 Ratings,PU,In Stock,METRO BRANDS,https://www.myntra.com/clutches/metro/metro-pink-embroidered-purse-clutch/17125114/buy
Metro,Grey Embroidered Purse Clutch,MRP₹ 990,MRP,4.4|12 Ratings,12 Ratings,PU,In Stock,METRO BRANDS,https://www.myntra.com/clutches/metro/metro-grey-embroidered-purse-clutch/17125000/buy
Metro,Pink Printed Purse Clutch,MRP₹ 990,MRP,4.7|60 Ratings,60 Ratings,Pu,In Stock,METRO BRANDS,https://www.myntra.com/clutches/metro/metro-pink-printed-purse-clutch/17124910/buy
Mochi,Women Pink Textured Purse Clutch,MRP₹ 990,MRP,4.6|294 Ratings,294 Ratings,Pu,In Stock,METRO BRANDS,https://www.myntra.com/clutches/mochi/mochi-women-pink-textured-purse-clutch/15637916/buy
Mochi,Brown Textured Purse Clutch,MRP₹ 990,MRP,4.6|99 Ratings,99 Ratings,Pu,In Stock,METRO BRANDS,https://www.myntra.com/clutches/mochi/mochi-brown-textured-purse-clutch/15637858/buy
Mochi,Yellow Embroidered Purse Clutch,MRP₹ 990,MRP,4.4|18 Ratings,18 Ratings,Pu,In Stock,METRO BRANDS,https://www.myntra.com/clutches/mochi/mochi-yellow-embroidered-purse-clutch/15637848/buy
Rocia,Woven Designed Brocade Purse Clutch,₹995,MRP ₹1990,N/A,N/A,Fabric,In Stock,REGAL BRANDS PRIVATE LIMITED,https://www.myntra.com/clutches/rocia/rocia-woven-designed-brocade-purse-clutch/30637110/buy
Baggit,Grey Solid Purse with Shoulder Strap,₹996,MRP ₹2490,4.3|101 Ratings,101 Ratings,Synthetic leather,In Stock,Baggit India Pvt LTD,https://www.myntra.com/clutches/baggit/baggit-grey-solid-purse-with-shoulder-strap/14888884/buy
Marie Claire,Women Beige Purse Clutch,MRP₹ 999,MRP,N/A,N/A,Synthetic,In Stock,Bata India Limited (OMNI),https://www.myntra.com/clutches/marie+claire/marie-claire-women-beige-purse-clutch/22620778/buy
Marie Claire,Grey Synthetic Purse Clutch,MRP₹ 999,MRP,N/A,N/A,Synthetic,In Stock,Bata India Limited (OMNI),https://www.myntra.com/clutches/marie+claire/marie-claire-grey-synthetic-purse-clutch/22616532/buy
Lapis O Lupo,Blue Purse Clutch,MRP₹ 999,MRP,4.8|5 Ratings,5 Ratings,Synthetic Leather,In Stock,Coalescent India,https://www.myntra.com/clutches/lapis+o+lupo/lapis-o-lupo-blue-purse-clutch/17615664/buy
REZZY,Blue & Red Striped Purse Clutch,MRP₹ 999,MRP,N/A,N/A,Canvas,In Stock,ESS BEE HANDICRAFTS,https://www.myntra.com/clutches/rezzy/rezzy-blue--red-striped-purse-clutch/17331426/buy
REZZY,Women White & Multi Color Polka Printed Purse Clutch,MRP₹ 999,MRP,N/A,N/A,Canvas,In Stock,ESS BEE HANDICRAFTS,https://www.myntra.com/clutches/rezzy/rezzy-women-white--multi-color-polka-printed-purse-clutch/17331424/buy
Spice Art,Embroidered Purse Clutch,₹999,MRP ₹1599,N/A,N/A,Fabric,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-embroidered-purse-clutch/26889110/buy
Spice Art,Embroidered Purse Clutch,₹999,MRP ₹1599,N/A,N/A,Fabric,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-embroidered-purse-clutch/26889106/buy
Spice Art,Navy Blue Textured Tasselled Purse Clutch,₹999,MRP ₹2099,N/A,N/A,Pu,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-navy-blue-textured-tasselled-purse-clutch/15041120/buy
Lavie,Textured Purse Clutch,₹999,MRP ₹2499,4|11 Ratings,11 Ratings,Synthetic Leather,In Stock,Flashtech Retail,https://www.myntra.com/clutches/lavie/lavie-textured-purse-clutch/26401112/buy
Toobacraft,Embellished Purse,₹999,MRP ₹4999,4.2|75 Ratings,75 Ratings,Synthetic,In Stock,M/S TOOBA HANDICRAFT,https://www.myntra.com/clutches/toobacraft/toobacraft-embellished-purse/24746974/buy
Forever Glam by Pantaloons,Solid PU Purse Clutch,₹1004,MRP ₹1499,N/A,N/A,PVC,In Stock,Westbury Holdings Pvt Ltd_Pantaloons,https://www.myntra.com/clutches/forever+glam+by+pantaloons/forever-glam-by-pantaloons-solid-pu-purse-clutch/21441256/buy
Fastrack,Black Solid Purse Clutch,₹1004,MRP ₹1499,4.3|147 Ratings,147 Ratings,PU,In Stock,PRIMESPOT RETAIL PRIVATE LIMITED,https://www.myntra.com/clutches/fastrack/fastrack-black-solid-purse-clutch/15398046/buy
ODETTE,Black Textured Fringed Purse Clutch,₹1011,MRP ₹3371,N/A,N/A,Metal,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-black-textured-fringed-purse-clutch/18047778/buy
ODETTE,Black Embellished Purse Clutch With Belt,₹1011,MRP ₹3371,N/A,N/A,Metal,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-black-embellished-purse-clutch-with-belt-/18047774/buy
Mochi,Embellished Purse Clutch,₹1014,MRP ₹1690,4.3|8 Ratings,8 Ratings,Synthetic,In Stock,Vision Star,https://www.myntra.com/clutches/mochi/mochi-embellished-purse-clutch/31394652/buy
Kara,Black Zip Around Large Capacity Ladies Leather Purse,₹1018,MRP ₹2995,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-black-zip-around-large-capacity-ladies-leather-purse/14556932/buy
Kara,Black Solid Leather Purse Clutches,₹1018,MRP ₹2995,N/A,N/A,Leather,In Stock,LEATHER LINE,https://www.myntra.com/clutches/kara/kara-black-solid-leather-purse-clutches/12643276/buy
Fastrack,Quilted Purse with Detachable Shoulder Strap,₹1019,MRP ₹1699,4.3|7 Ratings,7 Ratings,PU,In Stock,Truecom Retail,https://www.myntra.com/clutches/fastrack/fastrack-quilted-purse-with-detachable-shoulder-strap-/24889214/buy
Fastrack,Textured Quilted Purse Clutch,₹1019,MRP ₹1699,4.7|44 Ratings,44 Ratings,PU,In Stock,Truecom Retail,https://www.myntra.com/clutches/fastrack/fastrack-textured-quilted-purse-clutch/24889152/buy
Caprese,Women Textured Purse Clutch,₹1019,MRP ₹3398,4.4|18 Ratings,18 Ratings,Synthetic,In Stock,VIP INDUSTRIES LIMITED,https://www.myntra.com/clutches/caprese/caprese-women-textured-purse-clutch/24083714/buy
Lino Perros,Croc Textured Purse,₹1022,MRP ₹2495,4.3|12 Ratings,12 Ratings,Synthetic Leather,In Stock,Indiflashmart,https://www.myntra.com/clutches/lino+perros/lino-perros-croc-textured-purse/26235010/buy
Lino Perros,Black Croc Textured Clutch with Detachable Sling Strap,₹1022,MRP ₹2495,4.4|30 Ratings,30 Ratings,Synthetic leather,In Stock,Indiflashmart,https://www.myntra.com/clutches/lino+perros/lino-perros-black-croc-textured-clutch-with-detachable-sling-strap/20845958/buy
STREET 9,Black Embellished Clutch,₹1039,MRP ₹2599,4.2|10 Ratings,10 Ratings,PU,In Stock,STREET NINE FASHIONS,https://www.myntra.com/clutches/street+9/street-9-black-embellished-clutch/13815280/buy
CIMONI,Textured Purse Clutch,₹1049,MRP ₹4999,N/A,N/A,Leather,In Stock,JHANJI EXPORTS PVT. LTD.,https://www.myntra.com/clutches/cimoni/cimoni-textured-purse-clutch/32476913/buy
CIMONI,Textured Purse Clutch,₹1049,MRP ₹4999,N/A,N/A,Leather,In Stock,JHANJI EXPORTS PVT. LTD.,https://www.myntra.com/clutches/cimoni/cimoni-textured-purse-clutch/32476912/buy
Kuber Industries,Pack of 2 Printed Purse Clutch,₹1057,MRP ₹2299,N/A,N/A,Polyester,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-pack-of-2-printed-purse-clutch/28592906/buy
THE CLOWNFISH,Olive Green Embellished Purse Clutch,₹1069,MRP ₹1499,N/A,N/A,PU,In Stock,MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,https://www.myntra.com/clutches/the+clownfish/the-clownfish-olive-green-embellished-purse-clutch/14706566/buy
HAUTE SAUCE by  Campus Sutra,HAUTE SAUCE by Campus Sutra Blue Textured Purse Clutch With Magnet Lock,₹1076,MRP ₹2196,3.5|14 Ratings,14 Ratings,PU,In Stock,Supercom Net,https://www.myntra.com/clutches/haute+sauce+by++campus+sutra/haute-sauce-by-campus-sutra-blue-textured-purse-clutch-with-magnet-lock/18125972/buy
STREET 9,Yellow & Gold-Toned Solid Clutch,₹1079,MRP ₹2699,3.4|11 Ratings,11 Ratings,PU,In Stock,STREET NINE FASHIONS,https://www.myntra.com/clutches/street+9/street-9-yellow--gold-toned-solid-clutch/13862834/buy
STREET 9,White & Gold-Toned Textured Clutch,₹1079,MRP ₹2699,4.1|41 Ratings,41 Ratings,PU,In Stock,STREET NINE FASHIONS,https://www.myntra.com/clutches/street+9/street-9-white--gold-toned-textured-clutch/13815278/buy
STREET 9,White Solid Purse Clutch,₹1079,MRP ₹2699,3.8|72 Ratings,72 Ratings,PU,In Stock,STREET NINE FASHIONS,https://www.myntra.com/clutches/street+9/street-9-white-solid-purse-clutch/13815268/buy
Fastrack,Quilted Purse Clutch,₹1082,MRP ₹1899,4.3|12 Ratings,12 Ratings,PU,In Stock,PRIMESPOT RETAIL PRIVATE LIMITED,https://www.myntra.com/clutches/fastrack/fastrack-quilted-purse-clutch/24889172/buy
Lino Perros,Black Glossy Clutch with Chain Strap,₹1084,MRP ₹1695,3.9|83 Ratings,83 Ratings,Synthetic leather,In Stock,SUMITSU APPAREL PRIVATE LIMITED,https://www.myntra.com/clutches/lino+perros/lino-perros-black-glossy-clutch-with-chain-strap/1898222/buy
Lino Perros,Red Textured Clutch with Chain Strap,₹1084,MRP ₹1695,4.5|335 Ratings,335 Ratings,PU,In Stock,SUMITSU APPAREL PRIVATE LIMITED,https://www.myntra.com/clutches/lino+perros/lino-perros-red-textured-clutch-with-chain-strap/1287756/buy
ODETTE,Brown & Purple Textured Purse Clutch,₹1089,MRP ₹3632,N/A,N/A,Synthetic leather,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-brown--purple-textured-purse-clutch/15209032/buy
Marie Claire,Blue & Gold-Toned Textured Synthetic Purse Clutch With Wrist Loop,MRP₹ 1099,MRP,N/A,N/A,Synthetic,In Stock,Bata India Limited (OMNI),https://www.myntra.com/clutches/marie+claire/marie-claire-blue--gold-toned-textured-synthetic-purse-clutch-with-wrist-loop/22616546/buy
Marie Claire,Textured Synthetic Purse Clutch With Wrist Loop,MRP₹ 1099,MRP,N/A,N/A,Synthetic,In Stock,Bata India Limited (OMNI),https://www.myntra.com/clutches/marie+claire/marie-claire-textured-synthetic-purse-clutch-with-wrist-loop/22616526/buy
THE CLOWNFISH,Ivana Brown & Camel Brown Colourblocked Cut Work Purse Clutch,₹1099,MRP ₹1199,N/A,N/A,Pu,In Stock,MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,https://www.myntra.com/clutches/the+clownfish/the-clownfish-ivana-brown--camel-brown-colourblocked-cut-work-purse-clutch/14706558/buy
Kuber Industries,Set Of 2 Embellished Hand Purse,₹1099,MRP ₹1999,3.6|5 Ratings,5 Ratings,Polyester,In Stock,Kuber Mart Industries Private Limited,https://www.myntra.com/clutches/kuber+industries/kuber-industries-set-of-2-embellished-hand-purse/22229578/buy
Spice Art,Black Textured Tasselled Purse Clutch,₹1099,MRP ₹2099,N/A,N/A,Pu,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-black-textured-tasselled-purse-clutch/15041112/buy
HORRA,Black & Gold-Toned Purse Clutch,₹1099,MRP ₹3799,3.8|18 Ratings,18 Ratings,PU,In Stock,LA RAMBLA LIFESTYLE PRIVATE LIMITED,https://www.myntra.com/clutches/horra/horra-black--gold-toned-purse-clutch/20169144/buy
Baggit,Embellished Purse Clutch,₹1113,MRP ₹1590,N/A,N/A,PU,In Stock,Baggit India Pvt LTD,https://www.myntra.com/clutches/baggit/baggit-embellished-purse-clutch/30052031/buy
Rubans,Embellished Purse Clutch,₹1124,MRP ₹3748,N/A,N/A,Fabric,In Stock,AK Enterprises,https://www.myntra.com/clutches/rubans/rubans-embellished-purse-clutch/26538074/buy
Metro,Textured Embellished Purse Clutch,₹1136,MRP ₹2990,4.2|5 Ratings,5 Ratings,Synthetic,In Stock,Omnitech Retail,https://www.myntra.com/clutches/metro/metro-textured-embellished-purse-clutch/24019150/buy
Anekaant,Silver-Toned Embellished Purse Clutch,₹1139,MRP ₹1899,4.5|92 Ratings,92 Ratings,Metal,In Stock,A D PRODUCTS PVT LTD,https://www.myntra.com/clutches/anekaant/anekaant-silver-toned-embellished-purse-clutch/17493852/buy
Favore,Leather Purse with Zip Closure,₹1152,MRP ₹3200,N/A,N/A,Leather,In Stock,Saint G Leather Studio Pvt. Ltd.,https://www.myntra.com/clutches/favore/favore-leather-purse-with-zip-closure/28206384/buy
Favore,Textured Leather Purse Clutch,₹1152,MRP ₹3200,N/A,N/A,Leather,In Stock,Saint G Leather Studio Pvt. Ltd.,https://www.myntra.com/clutches/favore/favore-textured-leather-purse-clutch/28206370/buy
Favore,Leather Purse With Zip Pocket,₹1152,MRP ₹3200,N/A,N/A,Leather,In Stock,Saint G Leather Studio Pvt. Ltd.,https://www.myntra.com/clutches/favore/favore-leather-purse-with-zip-pocket/27268512/buy
Favore,Leather Purse Clutch,₹1152,MRP ₹3200,N/A,N/A,Leather,In Stock,Saint G Leather Studio Pvt. Ltd.,https://www.myntra.com/clutches/favore/favore-leather-purse-clutch/27268504/buy
Favore,Leather Purse With Zip Pocket,₹1152,MRP ₹3200,N/A,N/A,Leather,In Stock,Saint G Leather Studio Pvt. Ltd.,https://www.myntra.com/clutches/favore/favore-leather-purse-with-zip-pocket/27267334/buy
Peora,Embellished Purse Clutch,₹1155,MRP ₹2358,N/A,N/A,Fabric,In Stock,PEORA FASHIONS PVT LTD,https://www.myntra.com/clutches/peora/peora-embellished-purse-clutch/24346704/buy
Peora,Bow Detail Purse Clutch With Shoulder Strap,₹1155,MRP ₹2358,4|16 Ratings,16 Ratings,Fabric,In Stock,PEORA FASHIONS PVT LTD,https://www.myntra.com/clutches/peora/peora-bow-detail-purse-clutch-with-shoulder-strap/23292402/buy
HiLEDER,Leather Textured Purse,₹1159,MRP ₹3699,4.5|6 Ratings,6 Ratings,Leather,In Stock,QUALANZA INC,https://www.myntra.com/clutches/hileder/hileder-leather-textured-purse/23451252/buy
HiLEDER,Leather Textured Purse,₹1159,MRP ₹3699,4.9|8 Ratings,8 Ratings,Leather,In Stock,QUALANZA INC,https://www.myntra.com/clutches/hileder/hileder-leather-textured-purse/23451236/buy
THE CLOWNFISH,Fab Printed Purse Clutch,₹1179,MRP ₹1999,N/A,N/A,Fabric,In Stock,MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,https://www.myntra.com/clutches/the+clownfish/the-clownfish-fab-printed-purse-clutch/28663732/buy
Priyaasi,Embellished Purse Clutch,₹1181,MRP ₹2683,2.4|7 Ratings,7 Ratings,Fabric,In Stock,PRITA DESIGNS PRIVATE LIMITED,https://www.myntra.com/clutches/priyaasi/priyaasi-embellished-purse-clutch/29834664/buy
Inc 5,Textured Purse Clutch,₹1183,MRP ₹1690,N/A,N/A,N/A,In Stock,INC 5 SHOES PRIVATE LIMITED,https://www.myntra.com/clutches/inc+5/inc-5-textured-purse-clutch/32030377/buy
HORRA,Sequinned Embellished Purse,₹1187,MRP ₹5099,N/A,N/A,Fabric,In Stock,LA RAMBLA LIFESTYLE PRIVATE LIMITED,https://www.myntra.com/clutches/horra/horra-sequinned-embellished-purse/25899148/buy
Metro,Embellished Purse Clutch,₹1194,MRP ₹1990,4.7|11 Ratings,11 Ratings,Fabric,In Stock,Omnitech Retail,https://www.myntra.com/clutches/metro/metro-embellished-purse-clutch/31394388/buy
Metro,Embellished Purse Clutch,₹1194,MRP ₹1990,N/A,N/A,Fabric,In Stock,Omnitech Retail,https://www.myntra.com/clutches/metro/metro-embellished-purse-clutch/31394383/buy
THE CLOWNFISH,Women Brown Leather Structured Clutches,₹1199,MRP ₹1499,4.5|78 Ratings,78 Ratings,Leather,In Stock,MERHAKI FOODS AND NUTRITION PRIVATE LIMITED - SJIT,https://www.myntra.com/clutches/the+clownfish/the-clownfish-women-brown-leather-structured-clutches/14989312/buy
Spice Art,Maroon & Black Embellished Embroidered Purse Clutch,₹1199,MRP ₹2199,4.9|11 Ratings,11 Ratings,PU,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-maroon--black-embellished-embroidered-purse-clutch/13808116/buy
Spice Art,Brown & Yellow Embellished Embellished Purse Clutch,₹1199,MRP ₹2199,4.9|11 Ratings,11 Ratings,PU,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-brown--yellow-embellished-embellished-purse-clutch/13808112/buy
Spice Art,Beige  Embroidered Purse Clutch,₹1199,MRP ₹2199,N/A,N/A,Jute,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-beige--embroidered-purse-clutch/13013630/buy
Spice Art,Beige Embroidered Clutch,₹1199,MRP ₹2199,N/A,N/A,Jute,In Stock,SPICE ART,https://www.myntra.com/clutches/spice+art/spice-art-beige-embroidered-clutch/13013626/buy
CALFNERO,Black Solid Clutch,₹1199,MRP ₹2999,4.6|7 Ratings,7 Ratings,Leather,In Stock,CALFNERO PRIVATE LIMITED,https://www.myntra.com/clutches/calfnero/calfnero-black-solid-clutch/13781630/buy
HiLEDER,Leather Textured Purse Clutch,₹1199,MRP ₹3699,N/A,N/A,Leather,In Stock,QUALANZA INC,https://www.myntra.com/clutches/hileder/hileder-leather-textured-purse-clutch/23451222/buy
HORRA,Floral Embroidered Purse Clutch,₹1209,MRP ₹3999,N/A,N/A,Fabric,In Stock,LA RAMBLA LIFESTYLE PRIVATE LIMITED,https://www.myntra.com/clutches/horra/horra-floral-embroidered-purse-clutch/31335677/buy
HORRA,Floral Embellished Purse Clutch,₹1209,MRP ₹3999,N/A,N/A,Fabric,In Stock,LA RAMBLA LIFESTYLE PRIVATE LIMITED,https://www.myntra.com/clutches/horra/horra-floral-embellished-purse-clutch/31335676/buy
ODETTE,Textured Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Leather,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-textured-purse-clutch/29481542/buy
ODETTE,Floral Printed Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Metal,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-floral-printed-purse-clutch/29481538/buy
ODETTE,Embellished Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Metal,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-embellished-purse-clutch/23890610/buy
ODETTE,Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Metal,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-purse-clutch/23890488/buy
ODETTE,Orange Textured Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Leather,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-orange-textured-purse-clutch/18123440/buy
ODETTE,Silver-Toned Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Synthetic,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-silver-toned-purse-clutch/18112050/buy
ODETTE,Women Multicoloured Textured Purse Clutch,₹1213,MRP ₹4046,N/A,N/A,Metal,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-women-multicoloured-textured-purse-clutch/18047784/buy
THE CLOWNFISH,Ethnic Motif Printed Purse Clutch,₹1219,MRP ₹1999,N/A,N/A,Fabric,In Stock,MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,https://www.myntra.com/clutches/the+clownfish/the-clownfish-ethnic-motif-printed-purse-clutch/28663726/buy
Anekaant,Green & Red Embellished Buckle Detail Purse Clutch,₹1237,MRP ₹2749,N/A,N/A,Material : Faux Silk,In Stock,A D PRODUCTS PVT LTD,https://www.myntra.com/clutches/anekaant/anekaant-green--red-embellished-buckle-detail-purse-clutch/20946470/buy
THE CLOWNFISH,Women Brown Leather Structured Clutches,₹1239,MRP ₹1499,4.4|69 Ratings,69 Ratings,Leather,In Stock,MERHAKI FOODS AND NUTRITION PRIVATE LIMITED - SJIT,https://www.myntra.com/clutches/the+clownfish/the-clownfish-women-brown-leather-structured-clutches/14989262/buy
Inc 5,Textured Purse Clutch,₹1245,MRP ₹2490,N/A,N/A,Synthetic Leather,In Stock,INC 5 SHOES PRIVATE LIMITED,https://www.myntra.com/clutches/inc+5/inc-5-textured-purse-clutch-/25802154/buy
MODERN MYTH,Blue Textured Clutch,₹1260,MRP ₹1400,4.2|9 Ratings,9 Ratings,PU,In Stock,MODERN MYTH TRADEX PRIVATE LIMITED,https://www.myntra.com/clutches/modern+myth/modern-myth-blue-textured-clutch/11729084/buy
Tarini Nirula,Green & Gold-Toned Textured Clutch,₹1260,MRP ₹1400,N/A,N/A,Fabric,In Stock,TN ELAN DESIGNS,https://www.myntra.com/clutches/tarini+nirula/tarini-nirula-green--gold-toned-textured-clutch/11560034/buy
Tarini Nirula,Beige Checked Clutch,₹1260,MRP ₹1400,N/A,N/A,Fabric,In Stock,TN ELAN DESIGNS,https://www.myntra.com/clutches/tarini+nirula/tarini-nirula-beige-checked-clutch/11560030/buy
ODETTE,Women Printed Purse Clutch,₹1262,MRP ₹4208,N/A,N/A,Fabric,In Stock,Odette E - Retail Private Limited,https://www.myntra.com/clutches/odette/odette-women-printed-purse-clutch/22368214/buy
Accessorize,Women Embellished Purse,₹1269,MRP ₹2645,4.4|7 Ratings,7 Ratings,Fabric,In Stock,PLANET RETAIL HOLDINGS PVT. LTD,https://www.myntra.com/clutches/accessorize/accessorize-women-embellished-purse/25682252/buy
Rubans,Textured Purse Clutch,₹1274,MRP ₹4248,N/A,N/A,Fabric,In Stock,AK Enterprises,https://www.myntra.com/clutches/rubans/rubans-textured-purse-clutch/26538108/buy
Rubans,Purse Clutch,₹1274,MRP ₹4248,4|9 Ratings,9 Ratings,Fabric,In Stock,AK Enterprises,https://www.myntra.com/clutches/rubans/rubans-purse-clutch/26538088/buy
FRINGES,Embellished Sequined Purse Clutch,₹1279,MRP ₹1599,N/A,N/A,Fabric,In Stock,M/S VASUNDHARA INTERNATIONAL,https://www.myntra.com/clutches/fringes/fringes-embellished-sequined-purse-clutch/23560794/buy
Swisni,Embellished Clutch,₹1286,MRP ₹4289,N/A,N/A,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-embellished-clutch/26391566/buy
Swisni,Embellished Fabric Box Clutch,MRP₹ 4289,MRP,N/A,N/A,Fabric,In Stock,N/A,https://www.myntra.com/clutches/swisni/swisni-embellished-fabric-box-clutch/26391526/buy
Swisni,Embellished Purse Clutch,₹1286,MRP ₹4289,N/A,N/A,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-embellished-purse-clutch/26391518/buy
Swisni,Embellished Shoulder Straps Purse,₹1286,MRP ₹4289,N/A,N/A,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-embellished-shoulder-straps-purse/26391476/buy
Swisni,Women Embroidered Envelop Clutch,₹1286,MRP ₹4289,4.3|32 Ratings,32 Ratings,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-women-embroidered-envelop-clutch/22538260/buy
Swisni,Women Embellished Fabric Purse Clutch,₹1286,MRP ₹4289,N/A,N/A,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-women-embellished-fabric-purse-clutch/21549454/buy
Swisni,Women Embroidered Fabric Purse Clutch,₹1286,MRP ₹4289,N/A,N/A,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-women-embroidered-fabric-purse-clutch/21549420/buy
Swisni,Women Embellished Fabric Purse Clutch,₹1286,MRP ₹4289,N/A,N/A,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-women-embellished-fabric-purse-clutch/21549416/buy
Swisni,Pink & White Printed Purse Clutch,₹1286,MRP ₹4289,4|6 Ratings,6 Ratings,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-pink--white-printed-purse-clutch/20936952/buy
Swisni,Women Orange & White Embellished Fabric Purse Clutch,₹1286,MRP ₹4289,3.8|13 Ratings,13 Ratings,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-women-orange--white-embellished-fabric-purse-clutch/20936796/buy
Swisni,Women Pink & Blue Embellished Purse Clutch,₹1286,MRP ₹4289,4.2|24 Ratings,24 Ratings,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-women-pink--blue-embellished-purse-clutch/19784422/buy
Swisni,Blue & Black Embellished Fringed Purse Clutch,₹1286,MRP ₹4289,4.4|7 Ratings,7 Ratings,Fabric,In Stock,SWISNI ENTERPRISES,https://www.myntra.com/clutches/swisni/swisni-blue--black-embellished-fringed-purse-clutch/19784420/buy
GENWAYNE,Maroon Solid Leather Purse,₹1287,MRP ₹1950,N/A,N/A,Leather,In Stock,Adele Apparel Private Limited,https://www.myntra.com/clutches/genwayne/genwayne-maroon-solid-leather-purse/12302148/buy
